@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE PrevDayHAMarketClearingPrice NUMERIC
@ATTRIBUTE PrevHAMarketClearingPrice NUMERIC
@ATTRIBUTE CloudCoverage NUMERIC
@ATTRIBUTE Temperature NUMERIC
@ATTRIBUTE WSpeed NUMERIC
@ATTRIBUTE WDirection NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA
40,16,13,36706,10,2016,4,1,55.05720517987521,54.8905568210946,0.602,13.1,276.0,6.25,55.05720517987521
40,16,12,36707,10,2016,4,1,54.914332058303735,55.05720517987521,0.598,12.8,279.0,6.04,54.914332058303735
40,16,11,36708,10,2016,4,1,54.953104601979554,54.914332058303735,0.608,12.0,277.0,6.14,54.953104601979554
40,16,10,36709,10,2016,4,1,54.888215079161505,54.953104601979554,0.598,12.0,277.0,6.18,54.888215079161505
40,16,9,36710,10,2016,4,1,54.91385289252385,54.888215079161505,0.648,10.9,273.0,6.31,54.91385289252385
40,16,8,36711,10,2016,4,1,54.71324119919166,54.91385289252385,0.621,11.8,273.0,6.16,54.71324119919166
40,16,7,36712,10,2016,4,1,54.856059369355805,54.71324119919166,0.666,12.8,277.0,5.68,54.856059369355805
40,16,6,36713,10,2016,4,1,54.90728473584385,54.856059369355805,0.717,12.9,276.0,5.77,54.90728473584385
40,16,5,36714,10,2016,4,1,55.21663225970398,54.90728473584385,0.747,14.1,276.0,5.64,55.21663225970398
40,16,4,36715,10,2016,4,1,55.46132813017,55.21663225970398,0.696,14.5,274.0,5.17,55.46132813017
40,16,3,36716,10,2016,4,1,55.48358046763714,55.46132813017,0.653,13.4,280.0,4.37,55.48358046763714
40,16,2,36717,10,2016,4,1,55.551508514058945,55.48358046763714,0.686,13.6,278.0,3.96,55.551508514058945
40,16,1,36718,10,2016,4,1,55.58314627154238,55.551508514058945,0.668,13.3,284.0,3.55,55.58314627154238
40,16,0,36719,10,2016,4,1,55.814884386455375,55.58314627154238,0.752,12.6,285.0,3.48,55.814884386455375
41,17,23,36720,10,2016,4,1,14.768387097544588,0.0,0.964,10.6,306.0,3.37,14.768387097544588
41,17,22,36721,10,2016,4,1,43.13378278983176,14.768387097544588,0.954,10.3,308.0,3.27,43.13378278983176
41,17,21,36722,10,2016,4,1,43.34615136449697,43.13378278983176,0.958,10.6,306.0,2.95,43.34615136449697
41,17,20,36723,10,2016,4,1,43.33703060630015,43.34615136449697,0.945,10.7,306.0,2.9,43.33703060630015
41,17,19,36724,10,2016,4,1,44.025333689925574,43.33703060630015,0.947,10.4,304.0,2.92,44.025333689925574
