HourAhead,Action,Count,avgmcp,count,Err
7,2,0,40.77793478780053,0,10.567672151840386
7,3,0,40.77793478780053,0,10.567672151840386
7,4,0,40.77793478780053,0,10.567672151840386
7,5,0,40.77793478780053,0,10.567672151840386
7,6,0,40.77793478780053,0,10.567672151840386
7,7,0,40.77793478780053,0,10.567672151840386
7,8,0,40.77793478780053,0,10.567672151840386
7,9,0,40.77793478780053,0,10.567672151840386
7,10,0,40.77793478780053,0,10.567672151840386
7,11,0,40.77793478780053,0,10.567672151840386
7,12,0,40.77793478780053,0,10.567672151840386
7,13,0,40.77793478780053,0,10.567672151840386
7,14,0,40.77793478780053,0,10.567672151840386
7,15,0,40.77793478780053,0,10.567672151840386
8,0,0,36.859910379056636,0,1.3422491449092908
8,1,0,36.859910379056636,0,1.3422491449092908
